patient,timepoint_type,CN.label,predicted.annotation,n_cells
P01,MRD,cancer,HSC/MPP1,23
P01,MRD,cancer,HSC/MPP2,9
P01,MRD,cancer,cDC,9
P01,MRD,cancer,NP2,8
P01,MRD,cancer,LMPP,6
P01,MRD,cancer,ncMono,5
P01,MRD,cancer,pDC1,4
P01,MRD,cancer,NP1,1
P01,MRD,normal,pDC2,3565
P01,MRD,normal,cDC,2400
P01,MRD,normal,LMPP,2110
P01,MRD,normal,pDC1,1991
P01,MRD,normal,HSC/MPP2,1654
P01,MRD,normal,NP2,1620
P01,MRD,normal,NP1,1602
P01,MRD,normal,MEP-EP,1531
P01,MRD,normal,ncMono,1237
P01,MRD,normal,HSC/MPP1,471
P01,MRD,normal,EBM,412
P01,MRD,normal,MEP-MkP,208
P01,MRD,normal,CLP,98
P01,Relapse,cancer,HSC/MPP1,791
P01,Relapse,cancer,HSC/MPP2,210
P01,Relapse,cancer,MEP-MkP,174
P01,Relapse,cancer,EBM,68
P01,Relapse,cancer,NP1,68
P01,Relapse,cancer,cDC,62
P01,Relapse,cancer,NP2,44
P01,Relapse,cancer,MEP-EP,23
P01,Relapse,cancer,LMPP,15
P01,Relapse,cancer,ncMono,12
P01,Relapse,cancer,pDC2,12
P01,Relapse,cancer,pDC1,5
P01,Relapse,normal,CLP,530
P01,Relapse,normal,MEP-EP,296
P01,Relapse,normal,NP1,93
P01,Relapse,normal,pDC2,54
P01,Relapse,normal,HSC/MPP1,52
P01,Relapse,normal,NP2,44
P01,Relapse,normal,cDC,43
P01,Relapse,normal,HSC/MPP2,37
P01,Relapse,normal,MEP-MkP,36
P01,Relapse,normal,EBM,29
P01,Relapse,normal,LMPP,19
P01,Relapse,normal,pDC1,18
P01,Relapse,normal,ncMono,4
P02,MRD,cancer,LMPP,77
P02,MRD,cancer,HSC/MPP1,76
P02,MRD,cancer,HSC/MPP2,48
P02,MRD,cancer,cDC,19
P02,MRD,cancer,NP2,5
P02,MRD,cancer,NP1,4
P02,MRD,cancer,ncMono,1
P02,MRD,normal,CLP,1122
P02,MRD,normal,NP2,220
P02,MRD,normal,NP1,183
P02,MRD,normal,HSC/MPP2,110
P02,MRD,normal,cDC,93
P02,MRD,normal,MEP-EP,92
P02,MRD,normal,LMPP,80
P02,MRD,normal,HSC/MPP1,52
P02,MRD,normal,pDC2,51
P02,MRD,normal,EBM,41
P02,MRD,normal,pDC1,38
P02,MRD,normal,MEP-MkP,16
P02,MRD,normal,ncMono,2
P02,Relapse,cancer,HSC/MPP1,3494
P02,Relapse,cancer,LMPP,1355
P02,Relapse,cancer,HSC/MPP2,948
P02,Relapse,cancer,cDC,218
P02,Relapse,cancer,NP2,171
P02,Relapse,cancer,NP1,95
P02,Relapse,cancer,MEP-EP,51
P02,Relapse,cancer,EBM,40
P02,Relapse,cancer,MEP-MkP,37
P02,Relapse,cancer,pDC1,28
P02,Relapse,cancer,ncMono,22
P02,Relapse,cancer,CLP,1
P02,Relapse,normal,HSC/MPP1,2934
P02,Relapse,normal,HSC/MPP2,783
P02,Relapse,normal,LMPP,485
P02,Relapse,normal,NP2,202
P02,Relapse,normal,NP1,117
P02,Relapse,normal,MEP-EP,72
P02,Relapse,normal,cDC,57
P02,Relapse,normal,EBM,53
P02,Relapse,normal,MEP-MkP,46
P02,Relapse,normal,ncMono,18
P02,Relapse,normal,pDC1,13
P02,Relapse,normal,CLP,11
P03,MRD,cancer,HSC/MPP2,438
P03,MRD,cancer,NP1,263
P03,MRD,cancer,MEP-MkP,44
P03,MRD,cancer,EBM,7
P03,MRD,cancer,MEP-EP,3
P03,MRD,cancer,HSC/MPP1,2
P03,MRD,cancer,NP2,1
P03,MRD,normal,CLP,734
P03,MRD,normal,MEP-EP,618
P03,MRD,normal,NP2,469
P03,MRD,normal,NP1,410
P03,MRD,normal,HSC/MPP2,246
P03,MRD,normal,cDC,201
P03,MRD,normal,HSC/MPP1,160
P03,MRD,normal,LMPP,117
P03,MRD,normal,pDC1,104
P03,MRD,normal,EBM,93
P03,MRD,normal,MEP-MkP,68
P03,MRD,normal,pDC2,52
P03,MRD,normal,ncMono,8
P03,Relapse,cancer,HSC/MPP2,1482
P03,Relapse,cancer,NP1,1252
P03,Relapse,cancer,EBM,1127
P03,Relapse,cancer,HSC/MPP1,1121
P03,Relapse,cancer,MEP-MkP,566
P03,Relapse,cancer,MEP-EP,21
P03,Relapse,cancer,LMPP,14
P03,Relapse,cancer,ncMono,2
P03,Relapse,cancer,CLP,1
P03,Relapse,normal,HSC/MPP1,129
P03,Relapse,normal,MEP-MkP,19
P03,Relapse,normal,NP2,6
P03,Relapse,normal,LMPP,4
P03,Relapse,normal,NP1,4
P03,Relapse,normal,EBM,2
P03,Relapse,normal,MEP-EP,2
P03,Relapse,normal,CLP,1
P03,Relapse,normal,HSC/MPP2,1
P03,Relapse,normal,pDC1,1
P04,MRD,cancer,HSC/MPP1,36
P04,MRD,cancer,MEP-MkP,16
P04,MRD,cancer,MEP-EP,11
P04,MRD,cancer,cDC,10
P04,MRD,cancer,EBM,9
P04,MRD,cancer,HSC/MPP2,7
P04,MRD,cancer,NP2,5
P04,MRD,cancer,LMPP,4
P04,MRD,cancer,pDC1,3
P04,MRD,cancer,pDC2,1
P04,MRD,normal,CLP,228
P04,MRD,normal,MEP-EP,137
P04,MRD,normal,cDC,122
P04,MRD,normal,pDC2,106
P04,MRD,normal,HSC/MPP2,98
P04,MRD,normal,NP2,98
P04,MRD,normal,pDC1,67
P04,MRD,normal,NP1,65
P04,MRD,normal,HSC/MPP1,36
P04,MRD,normal,LMPP,26
P04,MRD,normal,EBM,23
P04,MRD,normal,MEP-MkP,20
P04,Relapse,cancer,HSC/MPP1,3777
P04,Relapse,cancer,LMPP,2900
P04,Relapse,cancer,HSC/MPP2,372
P04,Relapse,cancer,MEP-MkP,132
P04,Relapse,cancer,NP1,101
P04,Relapse,cancer,cDC,83
P04,Relapse,cancer,EBM,44
P04,Relapse,cancer,MEP-EP,27
P04,Relapse,cancer,CLP,18
P04,Relapse,cancer,NP2,4
P04,Relapse,cancer,ncMono,1
P04,Relapse,normal,CLP,5
P04,Relapse,normal,LMPP,5
P04,Relapse,normal,HSC/MPP2,2
P04,Relapse,normal,HSC/MPP1,1
P04,Relapse,normal,MEP-MkP,1
P04,Relapse,normal,NP1,1
P05,MRD,cancer,LMPP,5
P05,MRD,cancer,HSC/MPP1,3
P05,MRD,normal,CLP,1436
P05,MRD,normal,HSC/MPP2,591
P05,MRD,normal,NP2,353
P05,MRD,normal,pDC2,297
P05,MRD,normal,NP1,281
P05,MRD,normal,MEP-EP,275
P05,MRD,normal,pDC1,268
P05,MRD,normal,cDC,254
P05,MRD,normal,LMPP,252
P05,MRD,normal,HSC/MPP1,218
P05,MRD,normal,EBM,91
P05,MRD,normal,MEP-MkP,33
P05,MRD,normal,ncMono,2
P05,Relapse,cancer,NP1,1076
P05,Relapse,cancer,EBM,981
P05,Relapse,cancer,HSC/MPP2,669
P05,Relapse,cancer,NP2,415
P05,Relapse,cancer,MEP-MkP,344
P05,Relapse,cancer,MEP-EP,330
P05,Relapse,cancer,HSC/MPP1,280
P05,Relapse,cancer,LMPP,44
P05,Relapse,cancer,cDC,26
P05,Relapse,cancer,ncMono,1
P05,Relapse,normal,EBM,61
P05,Relapse,normal,NP1,26
P05,Relapse,normal,NP2,23
P05,Relapse,normal,HSC/MPP2,20
P05,Relapse,normal,MEP-EP,16
P05,Relapse,normal,HSC/MPP1,9
P05,Relapse,normal,LMPP,5
P05,Relapse,normal,MEP-MkP,5
P05,Relapse,normal,cDC,3
P05,Relapse,normal,pDC1,1
P06,MRD,cancer,pDC2,15
P06,MRD,cancer,pDC1,7
P06,MRD,cancer,cDC,6
P06,MRD,cancer,HSC/MPP2,4
P06,MRD,cancer,LMPP,4
P06,MRD,cancer,CLP,3
P06,MRD,cancer,EBM,1
P06,MRD,cancer,HSC/MPP1,1
P06,MRD,cancer,MEP-EP,1
P06,MRD,cancer,NP1,1
P06,MRD,cancer,ncMono,1
P06,MRD,normal,CLP,1179
P06,MRD,normal,MEP-EP,468
P06,MRD,normal,NP2,274
P06,MRD,normal,HSC/MPP2,267
P06,MRD,normal,cDC,261
P06,MRD,normal,pDC2,213
P06,MRD,normal,NP1,140
P06,MRD,normal,pDC1,131
P06,MRD,normal,HSC/MPP1,98
P06,MRD,normal,LMPP,61
P06,MRD,normal,MEP-MkP,60
P06,MRD,normal,EBM,45
P06,MRD,normal,ncMono,18
P07,MRD,cancer,HSC/MPP2,10
P07,MRD,cancer,NP1,4
P07,MRD,cancer,LMPP,3
P07,MRD,cancer,HSC/MPP1,2
P07,MRD,cancer,MEP-MkP,2
P07,MRD,cancer,MEP-EP,1
P07,MRD,normal,MEP-EP,1350
P07,MRD,normal,NP1,179
P07,MRD,normal,HSC/MPP2,164
P07,MRD,normal,CLP,110
P07,MRD,normal,NP2,94
P07,MRD,normal,MEP-MkP,77
P07,MRD,normal,EBM,55
P07,MRD,normal,HSC/MPP1,53
P07,MRD,normal,cDC,28
P07,MRD,normal,pDC1,25
P07,MRD,normal,pDC2,14
P07,MRD,normal,LMPP,7
P07,MRD,normal,ncMono,7
P07,Relapse,cancer,HSC/MPP2,2136
P07,Relapse,cancer,LMPP,886
P07,Relapse,cancer,EBM,409
P07,Relapse,cancer,NP1,279
P07,Relapse,cancer,HSC/MPP1,142
P07,Relapse,cancer,CLP,121
P07,Relapse,cancer,MEP-EP,107
P07,Relapse,cancer,MEP-MkP,101
P07,Relapse,cancer,pDC1,52
P07,Relapse,cancer,pDC2,31
P07,Relapse,cancer,NP2,29
P07,Relapse,cancer,cDC,26
P07,Relapse,cancer,ncMono,1
P07,Relapse,normal,HSC/MPP2,47
P07,Relapse,normal,NP1,12
P07,Relapse,normal,CLP,9
P07,Relapse,normal,EBM,7
P07,Relapse,normal,HSC/MPP1,6
P07,Relapse,normal,LMPP,5
P07,Relapse,normal,MEP-EP,4
P07,Relapse,normal,MEP-MkP,4
P07,Relapse,normal,NP2,3
P08,MRD,normal,CLP,382
P08,MRD,normal,pDC2,184
P08,MRD,normal,MEP-EP,153
P08,MRD,normal,NP1,146
P08,MRD,normal,LMPP,115
P08,MRD,normal,HSC/MPP2,92
P08,MRD,normal,NP2,79
P08,MRD,normal,cDC,71
P08,MRD,normal,HSC/MPP1,65
P08,MRD,normal,EBM,44
P08,MRD,normal,pDC1,39
P08,MRD,normal,MEP-MkP,26
P08,MRD,normal,ncMono,15
P08,Relapse,cancer,pDC2,132
P08,Relapse,cancer,cDC,95
P08,Relapse,cancer,LMPP,78
P08,Relapse,cancer,EBM,68
P08,Relapse,cancer,HSC/MPP2,47
P08,Relapse,cancer,pDC1,42
P08,Relapse,cancer,MEP-EP,40
P08,Relapse,cancer,NP2,25
P08,Relapse,cancer,NP1,15
P08,Relapse,cancer,MEP-MkP,13
P08,Relapse,cancer,HSC/MPP1,8
P08,Relapse,cancer,CLP,3
P08,Relapse,cancer,ncMono,2
P08,Relapse,normal,MEP-EP,255
P08,Relapse,normal,NP1,123
P08,Relapse,normal,CLP,113
P08,Relapse,normal,HSC/MPP2,89
P08,Relapse,normal,NP2,80
P08,Relapse,normal,pDC2,46
P08,Relapse,normal,cDC,45
P08,Relapse,normal,LMPP,32
P08,Relapse,normal,pDC1,26
P08,Relapse,normal,EBM,25
P08,Relapse,normal,MEP-MkP,24
P08,Relapse,normal,HSC/MPP1,15
P08,Relapse,normal,ncMono,1
P09,MRD,cancer,HSC/MPP2,129
P09,MRD,cancer,LMPP,82
P09,MRD,cancer,HSC/MPP1,49
P09,MRD,cancer,cDC,42
P09,MRD,cancer,NP2,29
P09,MRD,cancer,MEP-MkP,15
P09,MRD,cancer,NP1,13
P09,MRD,cancer,pDC1,8
P09,MRD,cancer,MEP-EP,5
P09,MRD,cancer,EBM,3
P09,MRD,normal,MEP-EP,4372
P09,MRD,normal,CLP,4224
P09,MRD,normal,HSC/MPP2,1536
P09,MRD,normal,NP2,1401
P09,MRD,normal,NP1,1256
P09,MRD,normal,cDC,1128
P09,MRD,normal,pDC2,724
P09,MRD,normal,pDC1,557
P09,MRD,normal,HSC/MPP1,467
P09,MRD,normal,LMPP,408
P09,MRD,normal,EBM,407
P09,MRD,normal,MEP-MkP,265
P09,MRD,normal,ncMono,6
P09,Relapse,cancer,HSC/MPP2,473
P09,Relapse,cancer,LMPP,228
P09,Relapse,cancer,HSC/MPP1,119
P09,Relapse,cancer,NP2,70
P09,Relapse,cancer,MEP-MkP,56
P09,Relapse,cancer,NP1,37
P09,Relapse,cancer,cDC,34
P09,Relapse,cancer,EBM,13
P09,Relapse,cancer,CLP,5
P09,Relapse,cancer,MEP-EP,5
P09,Relapse,cancer,pDC1,4
P09,Relapse,cancer,pDC2,1
P09,Relapse,normal,CLP,114
P09,Relapse,normal,MEP-EP,86
P09,Relapse,normal,NP1,83
P09,Relapse,normal,NP2,79
P09,Relapse,normal,HSC/MPP1,45
P09,Relapse,normal,pDC2,44
P09,Relapse,normal,HSC/MPP2,42
P09,Relapse,normal,pDC1,32
P09,Relapse,normal,cDC,30
P09,Relapse,normal,EBM,22
P09,Relapse,normal,MEP-MkP,17
P09,Relapse,normal,LMPP,16
P10,MRD,normal,MEP-EP,581
P10,MRD,normal,CLP,575
P10,MRD,normal,HSC/MPP2,430
P10,MRD,normal,NP1,303
P10,MRD,normal,NP2,200
P10,MRD,normal,pDC1,125
P10,MRD,normal,EBM,105
P10,MRD,normal,cDC,103
P10,MRD,normal,LMPP,100
P10,MRD,normal,HSC/MPP1,80
P10,MRD,normal,pDC2,60
P10,MRD,normal,MEP-MkP,49
P10,MRD,normal,ncMono,4
P11,MRD,normal,CLP,1007
P11,MRD,normal,MEP-EP,940
P11,MRD,normal,HSC/MPP2,513
P11,MRD,normal,NP1,382
P11,MRD,normal,cDC,304
P11,MRD,normal,NP2,293
P11,MRD,normal,EBM,135
P11,MRD,normal,pDC1,132
P11,MRD,normal,HSC/MPP1,109
P11,MRD,normal,pDC2,96
P11,MRD,normal,LMPP,66
P11,MRD,normal,MEP-MkP,47
P12,MRD,normal,MEP-EP,747
P12,MRD,normal,cDC,370
P12,MRD,normal,NP1,337
P12,MRD,normal,HSC/MPP2,294
P12,MRD,normal,NP2,208
P12,MRD,normal,pDC2,144
P12,MRD,normal,pDC1,99
P12,MRD,normal,LMPP,96
P12,MRD,normal,EBM,62
P12,MRD,normal,HSC/MPP1,54
P12,MRD,normal,MEP-MkP,44
P12,MRD,normal,CLP,26
P12,MRD,normal,ncMono,7
P13,MRD,cancer,LMPP,2
P13,MRD,cancer,HSC/MPP1,1
P13,MRD,cancer,HSC/MPP2,1
P13,MRD,normal,CLP,1793
P13,MRD,normal,cDC,838
P13,MRD,normal,NP2,748
P13,MRD,normal,HSC/MPP2,660
P13,MRD,normal,NP1,471
P13,MRD,normal,LMPP,380
P13,MRD,normal,pDC2,286
P13,MRD,normal,pDC1,207
P13,MRD,normal,MEP-EP,146
P13,MRD,normal,HSC/MPP1,128
P13,MRD,normal,EBM,79
P13,MRD,normal,MEP-MkP,31
P13,MRD,normal,ncMono,3
P13,Relapse,cancer,HSC/MPP1,1968
P13,Relapse,cancer,HSC/MPP2,1223
P13,Relapse,cancer,LMPP,236
P13,Relapse,cancer,EBM,156
P13,Relapse,cancer,MEP-MkP,63
P13,Relapse,cancer,cDC,61
P13,Relapse,cancer,NP1,29
P13,Relapse,cancer,NP2,24
P13,Relapse,cancer,CLP,16
P13,Relapse,cancer,pDC1,7
P13,Relapse,cancer,MEP-EP,4
P13,Relapse,normal,CLP,170
P13,Relapse,normal,HSC/MPP2,75
P13,Relapse,normal,LMPP,69
P13,Relapse,normal,pDC1,46
P13,Relapse,normal,MEP-MkP,36
P13,Relapse,normal,EBM,31
P13,Relapse,normal,NP1,30
P13,Relapse,normal,HSC/MPP1,27
P13,Relapse,normal,MEP-EP,20
P13,Relapse,normal,NP2,18
P13,Relapse,normal,cDC,17
P13,Relapse,normal,pDC2,12
P13,Relapse,normal,ncMono,1
